Species_ID,Common_Name,Kingdom,Genus,Species,ITIS_Taxonomic_SN,Active,Cloned,USDA_Symbol,Date_Added,Functional_Type
1,bigleaf maple,Plantae,Acer,macrophyllum,28748,1,0,ACMA3,8/25/2008 0:00,Deciduous broadleaf
2,boxelder,Plantae,Acer,negundo,28749,1,0,ACNE2,8/25/2008 0:00,Deciduous broadleaf
3,red maple,Plantae,Acer,rubrum,28728,1,0,ACRU,8/25/2008 0:00,Deciduous broadleaf
4,Saskatoon serviceberry,Plantae,Amelanchier,alnifolia,25109,1,0,AMAL2,8/25/2008 0:00,Deciduous broadleaf
6,yellow marsh marigold,Plantae,Caltha,palustris,18454,1,0,CAPA5,8/25/2008 0:00,Forb
7,eastern redbud,Plantae,Cercis,canadensis,25782,1,0,CECA4,8/25/2008 0:00,Deciduous broadleaf
8,Virginia springbeauty,Plantae,Claytonia,virginica,20382,1,0,CLVI3,8/25/2008 0:00,Forb
9,bluebead,Plantae,Clintonia,borealis,42903,1,0,CLBO3,8/25/2008 0:00,Forb
11,bunchberry dogwood,Plantae,Cornus,canadensis,27816,1,0,COCA13,8/25/2008 0:00,Forb
12,flowering dogwood,Plantae,Cornus,florida,27806,1,0,COFL2,8/25/2008 0:00,Deciduous broadleaf
16,ocotillo,Plantae,Fouquieria,splendens,502645,1,0,FOSP2,8/25/2008 0:00,Semi-deciduous broadleaf
17,Virginia strawberry,Plantae,Fragaria,virginiana,24639,1,0,FRVI,8/25/2008 0:00,Forb
19,twinflower,Plantae,Linnaea,borealis,35314,1,0,LIBO3,8/25/2008 0:00,Evergreen broadleaf
20,Arnold Red honeysuckle,Plantae,Lonicera,tatarica-arnoldred,35306,1,1,LOTA,8/25/2008 0:00,Deciduous broadleaf
22,desert ironwood,Plantae,Olneya,tesota,26808,1,0,OLTE,8/25/2008 0:00,Semi-deciduous broadleaf
25,ponderosa pine,Plantae,Pinus,ponderosa,183365,1,0,PIPO,8/25/2008 0:00,Evergreen conifer
26,mayapple,Plantae,Podophyllum,peltatum,18850,1,0,POPE,8/25/2008 0:00,Forb
27,quaking aspen,Plantae,Populus,tremuloides,195773,1,0,POTR5,8/25/2008 0:00,Deciduous broadleaf
28,black cherry,Plantae,Prunus,serotina,24764,1,0,PRSE2,8/25/2008 0:00,Deciduous broadleaf
29,chokecherry,Plantae,Prunus,virginiana,24806,1,0,PRVI,8/25/2008 0:00,Deciduous broadleaf
33,black locust,Plantae,Robinia,pseudoacacia,504804,1,0,ROPS,8/25/2008 0:00,Deciduous broadleaf
35,Red Rothomagensis lilac,Plantae,Syringa,chinensis,NULL,1,1,SYCH3,8/25/2008 0:00,Deciduous broadleaf
36,common lilac,Plantae,Syringa,vulgaris,32996,1,0,SYVU,8/25/2008 0:00,Deciduous broadleaf
38,white trillium,Plantae,Trillium,grandiflorum,43074,1,0,TRGR4,8/25/2008 0:00,Forb
39,balsam fir,Plantae,Abies,balsamea,18032,1,0,ABBA,8/25/2008 0:00,Evergreen conifer
40,white fir,Plantae,Abies,concolor,181826,1,0,ABCO,8/25/2008 0:00,Evergreen conifer
41,grand fir,Plantae,Abies,grandis,183284,1,0,ABGR,8/25/2008 0:00,Evergreen conifer
42,subalpine fir,Plantae,Abies,lasiocarpa,181830,1,0,ABLA,8/25/2008 0:00,Evergreen conifer
43,Ashe's juniper,Plantae,Juniperus,ashei,194812,1,0,JUAS,8/25/2008 0:00,Evergreen conifer
44,eastern redcedar,Plantae,Juniperus,virginiana,18048,1,0,JUVI,8/25/2008 0:00,Evergreen conifer
45,tamarack,Plantae,Larix,laricina,183412,1,0,LALA,8/25/2008 0:00,Deciduous conifer
46,Engelmann spruce,Plantae,Picea,engelmannii,183291,1,0,PIEN,8/25/2008 0:00,Evergreen conifer
47,white spruce,Plantae,Picea,glauca,183295,1,0,PIGL,8/25/2008 0:00,Evergreen conifer
48,black spruce,Plantae,Picea,mariana,183302,1,0,PIMA,8/25/2008 0:00,Evergreen conifer
49,red spruce,Plantae,Picea,rubens,18034,1,0,PIRU,8/25/2008 0:00,Evergreen conifer
50,twoneedle pinyon,Plantae,Pinus,edulis,183336,1,0,PIED,8/25/2008 0:00,Evergreen conifer
51,singleleaf pinyon,Plantae,Pinus,monophylla,183353,1,0,PIMO,8/25/2008 0:00,Evergreen conifer
52,longleaf pine,Plantae,Pinus,palustris,18038,1,0,PIPA2,8/25/2008 0:00,Evergreen conifer
53,eastern white pine,Plantae,Pinus,strobus,183385,1,0,PIST,8/25/2008 0:00,Evergreen conifer
54,loblolly pine,Plantae,Pinus,taeda,18037,1,0,PITA,8/25/2008 0:00,Evergreen conifer
55,Douglas-fir,Plantae,Pseudotsuga,menziesii,183424,1,0,PSME,8/25/2008 0:00,Evergreen conifer
56,eastern hemlock,Plantae,Tsuga,canadensis,183397,1,0,TSCA,8/25/2008 0:00,Evergreen conifer
57,western hemlock,Plantae,Tsuga,heterophylla,183400,1,0,TSHE,8/25/2008 0:00,Evergreen conifer
58,mountain hemlock,Plantae,Tsuga,mertensiana,183402,1,0,TSME,8/25/2008 0:00,Evergreen conifer
59,Rocky Mountain maple,Plantae,Acer,glabrum,28742,1,0,ACGL,8/25/2008 0:00,Deciduous broadleaf
60,striped maple,Plantae,Acer,pensylvanicum,28754,1,0,ACPE,8/25/2008 0:00,Deciduous broadleaf
61,sugar maple,Plantae,Acer,saccharum,28731,1,0,ACSA3,8/25/2008 0:00,Deciduous broadleaf
62,gray alder,Plantae,Alnus,incana,19471,1,0,ALIN2,8/25/2008 0:00,Deciduous broadleaf
63,red alder,Plantae,Alnus,rubra,19474,1,0,ALRU2,8/25/2008 0:00,Deciduous broadleaf
64,Canadian serviceberry,Plantae,Amelanchier,canadensis,25112,1,0,AMCA4,8/25/2008 0:00,Deciduous broadleaf
65,Utah serviceberry,Plantae,Amelanchier,utahensis,25121,1,0,AMUT,8/25/2008 0:00,Deciduous broadleaf
66,gumbo limbo,Plantae,Bursera,simaruba,28766,1,0,BUSI,8/25/2008 0:00,Semi-deciduous broadleaf
67,pignut hickory,Plantae,Carya,glabra,19231,1,0,CAGL8,8/25/2008 0:00,Deciduous broadleaf
68,shagbark hickory,Plantae,Carya,ovata,19242,1,0,CAOV2,8/25/2008 0:00,Deciduous broadleaf
69,Pacific dogwood,Plantae,Cornus,nuttallii,27809,1,0,CONU4,8/25/2008 0:00,Deciduous broadleaf
70,redosier dogwood,Plantae,Cornus,sericea,501637,1,0,COSE16,8/25/2008 0:00,Deciduous broadleaf
71,American hazelnut,Plantae,Corylus,americana,19506,1,0,COAM3,8/25/2008 0:00,Deciduous broadleaf
72,beaked hazelnut,Plantae,Corylus,cornuta,19507,1,0,COCO6,8/25/2008 0:00,Deciduous broadleaf
73,forsythia,Plantae,Forsythia,spp.,32961,1,0,FORSY,8/25/2008 0:00,Deciduous broadleaf
74,white ash,Plantae,Fraxinus,americana,32931,1,0,FRAM2,8/25/2008 0:00,Deciduous broadleaf
75,green ash,Plantae,Fraxinus,pennsylvanica,32929,1,0,FRPE,8/25/2008 0:00,Deciduous broadleaf
76,American witchhazel,Plantae,Hamamelis,virginiana,19033,1,0,HAVI4,8/25/2008 0:00,Deciduous broadleaf
77,greyleaf willow,Plantae,Salix,glauca,22482,1,0,SAGL,8/25/2008 0:00,Deciduous broadleaf
78,white cedar,Plantae,Tabebuia,heterophylla,34345,1,0,TAHE,8/25/2008 0:00,Semi-deciduous broadleaf
79,American beech,Plantae,Fagus,grandifolia,19462,1,0,FAGR,8/25/2008 0:00,Deciduous broadleaf
80,black walnut,Plantae,Juglans,nigra,19254,1,0,JUNI,8/25/2008 0:00,Deciduous broadleaf
81,sweetgum,Plantae,Liquidambar,styraciflua,19027,1,0,LIST2,8/25/2008 0:00,Deciduous broadleaf
82,tuliptree,Plantae,Liriodendron,tulipifera,18086,1,0,LITU,8/25/2008 0:00,Deciduous broadleaf
83,paradise apple,Plantae,Malus,pumila,25262,1,0,MAPU,8/25/2008 0:00,Deciduous broadleaf
84,honey mesquite,Plantae,Prosopis,glandulosa,26879,1,0,PRGL2,8/25/2008 0:00,Semi-deciduous broadleaf
85,mesquite,Plantae,Prosopis,juliflora,565434,1,0,PRJU3,8/25/2008 0:00,Semi-deciduous broadleaf
86,sweet almond,Plantae,Prunus,dulcis,24775,1,0,PRDU,8/25/2008 0:00,Deciduous broadleaf
87,bitter cherry,Plantae,Prunus,emarginata,24776,1,0,PREM,8/25/2008 0:00,Deciduous broadleaf
88,peach,Plantae,Prunus,persica,24765,1,0,PRPE3,8/25/2008 0:00,Deciduous broadleaf
89,common buckthorn,Plantae,Rhamnus,cathartica,28573,1,0,RHCA3,8/25/2008 0:00,Deciduous broadleaf
90,black elderberry,Plantae,Sambucus,nigra,35324,1,0,SANI4,8/25/2008 0:00,Deciduous broadleaf
91,American mountain ash,Plantae,Sorbus,americana,25319,1,0,SOAM3,8/25/2008 0:00,Deciduous broadleaf
92,common snowberry,Plantae,Symphoricarpos,albus,35332,1,0,SYAL,8/25/2008 0:00,Deciduous broadleaf
93,American basswood,Plantae,Tilia,americana,21536,1,0,TIAM,8/25/2008 0:00,Deciduous broadleaf
94,highbush blueberry,Plantae,Vaccinium,corymbosum,23573,1,0,VACO,8/25/2008 0:00,Deciduous broadleaf
95,hobblebush,Plantae,Viburnum,lantanoides,35265,1,0,VILA11,8/25/2008 0:00,Deciduous broadleaf
96,wine grape,Plantae,Vitis,vinifera,28629,1,0,VIVI5,8/25/2008 0:00,Deciduous broadleaf
97,yellow birch,Plantae,Betula,alleghaniensis,19481,1,0,BEAL2,8/25/2008 0:00,Deciduous broadleaf
98,sweet birch,Plantae,Betula,lenta,19487,1,0,BELE,8/25/2008 0:00,Deciduous broadleaf
99,paper birch,Plantae,Betula,papyrifera,19489,1,0,BEPA,8/25/2008 0:00,Deciduous broadleaf
100,white oak,Plantae,Quercus,alba,19290,1,0,QUAL,8/25/2008 0:00,Deciduous broadleaf
101,bur oak,Plantae,Quercus,macrocarpa,19287,1,0,QUMA2,8/25/2008 0:00,Deciduous broadleaf
