family,scientificName,eventDate,year,month,day,startDayOfYear,habitat,substrate,verbatimAttributes,fieldNumber,informationWithheld,dataGeneralizations,reproductiveCondition,decimalLatitude,decimalLongitude,minimumElevationInMeters
Cyperaceae,Carex aquatilis,8/18/2012,,,,231,Wet Alpine Meadow near timberline,,"Perennial graminoid with rhizomes, 20-40 cm tall, abundant (dominant).",,,,"Fruit, disarticulating",37.851139,-107.776972,3581
Cyperaceae,Carex aquatilis,7/22/2013,,,,203,Small alpine tarn,,"Robust, rhizomatous graminoid growing at edge of tarn in water; common at site",,,,,37.399379,-106.668816,3702
Cyperaceae,Carex aquatilis,7/10/2004,,,,192,,,,,,,,37.4527778,-107.3088889,3444
Cyperaceae,Carex aquatilis,7/10/2004,,,,192,,,,,,,,37.4527778,-107.3088889,3444
Cyperaceae,Carex aquatilis,7/24/2004,2004,7,24,206,,,,,,,,37.71961,-107.55462,3733
Cyperaceae,Carex aquatilis,7/30/2004,2004,7,30,212,,,,,,,,37.55275,-107.60069,3657
Cyperaceae,Carex aquatilis,8/1/2004,2004,8,1,214,,,,,,,,37.61072,-107.61185,3535
Cyperaceae,Carex aquatilis,1986-07-00,1986,7,0,,Alpine ridge.,,,,,,Flowering,39.0203,-106.755,3850
Cyperaceae,Carex aquatilis,8/19/1985,1985,8,19,231,boggy gnd around sm lake,,,,,,,38.8047,-106.4149,3596
Cyperaceae,Carex aquatilis,8/20/1986,1986,8,20,232,moist humic soil,,,,,,,37.1213,-106.484,3505
Cyperaceae,Carex aquatilis,8/2/1945,1945,8,2,214,moist meadow,,,,,,,37.3154,-106.6199,3505
Cyperaceae,Carex aquatilis,8/19/1987,1987,8,19,231,wet meadow,,,,,,,37.1703,-105.1636,3611
Cyperaceae,Carex aquatilis,7/20/1968,1968,7,20,202,wet boggy gnd,,,,,,,39.9356,-105.6429,3200
Cyperaceae,Carex aquatilis,7/20/1968,1968,7,20,202,open boggy gnd,,,,,,,39.9356,-105.6429,3200
Cyperaceae,Carex aquatilis,7/9/1967,1967,7,9,190,"wet marsh, SE exposure",,,,,,,38.86515,-107.13324,3230
Cyperaceae,Carex aquatilis,8/21/1967,1967,8,21,233,"streambank, E exposure",,,,,,,39.10966,-106.27241,3352
Cyperaceae,Carex aquatilis,8/22/1968,1968,8,22,235,,,,,,,,40.4197,-105.8108,3505
Cyperaceae,Carex aquatilis,8/29/1987,1987,8,29,241,rocky soil of tundra,,,,,,,40.6215,-105.93678,3444
Cyperaceae,Carex aquatilis,8/13/1987,1987,8,13,225,wet meadow,,,,,,,37.18377,-105.15254,3779
Cyperaceae,Carex aquatilis,8/13/1987,1987,8,13,225,wet meadow,,,,,,,37.18377,-105.15254,3779
Cyperaceae,Carex aquatilis,8/16/1962,1962,8,16,228,silt loam of level near pond,,,,,,,39.0396,-108.051,3261
Cyperaceae,Carex aquatilis,1986-07-00,1986,7,0,,,,,,,,,39.0203,-106.7556,3850
Cyperaceae,Carex aquatilis,7/20/1996,1996,7,20,202,Talus with wet areas from run off.,,,,,,,37.7634,-107.587,3493
Cyperaceae,Carex aquatilis,7/21/1996,1996,7,21,203,Riparian community of mesic graminoids.,,,,,,,38.9776,-106.081,3231
Cyperaceae,Eriophorum angustifolium,7/21/1987,1987,7,21,202,Sedge bog.,,,,,,flowering and fruiting,38.8191,-106.3036,3415
Cyperaceae,Eriophorum angustifolium,8/21/2000,2000,8,21,234,Alpine and subalpine meadows.,,,,,,Phenology: Flowering and Fruiting.,39.1662,-106.5798,3536
Cyperaceae,Eriophorum angustifolium,8/28/2001,2001,8,28,240,Alpine meadow surrounding lake with willow carr.,,,,,,flowering and fruiting,38.6141,-106.251,3598
Cyperaceae,Eriophorum angustifolium,7/11/1997,1997,7,11,192,"Engelmann spruce/subalpine fir forest and wet basin; Salix, juniper.",,,,,,Phenology: Flowering.,38.992,-106.9341,3323
Cyperaceae,Eriophorum angustifolium,8/13/1987,1987,8,13,225,Wet meadow dominated by Carex with Salix and Veratrum and Plygonum on margins of pond surrounded by old growth Picea.,,,,,,flowering and fruiting,37.18693,-105.14807,3462
Cyperaceae,Eriophorum angustifolium,8/9/1934,1934,8,9,221,"Abundant in wet meadow on 10 degree slope, southeast exposure, in clay loam with Carex, Festuca, Poa and Caltha.",,,,,,fruiting,37.5458,-107.6604,3506
Cyperaceae,Eriophorum angustifolium,7/7/1988,1988,7,7,189,"At edge of small pond on rocky soil of steep northeast exposure with Phlox, Arenaria, Erigeron and Claytonia.",,,,,,fruiting,37.1703,-106.5917,3741
Cyperaceae,Eriophorum angustifolium,8/11/1943,1943,8,11,223,"Sparse in boggy area on 2% slope, northwest exposure, in deep humus with sedges and willows.",,,,,,fruiting,38.1403,-105.6845,3354
Cyperaceae,Eriophorum angustifolium,8/17/2011,2011,8,17,229,"Fens with peat moss and sedge meadows, bordered by spruce-fir forest.",,,,,,flowering and fruiting,39.2544,-106.5191,3399
Cyperaceae,Eriophorum angustifolium,8/17/2011,2011,8,17,229,"Fens with peat moss and sedge meadows, bordered by spruce-fir forest.",,,,,,flowering and fruiting,39.2544,-106.5191,3399
Cyperaceae,Eriophorum angustifolium,8/1/1995,1995,8,1,213,In a large open bog surrounded by Salix and Betula spp.,,,,,,Phenology: Flowering.,38.7742,-105.0266,3286
Cyperaceae,Carex aquatilis,8/18/2012,2012,8,18,231,Wet Alpine Meadow near timberline,,"Perennial graminoid with rhizomes, 20-40 cm tall, abundant (dominant).",,,,"Fruit, disarticulating",37.851139,-107.776972,3581
Cyperaceae,Carex aquatilis,7/22/2013,2013,7,22,203,Small alpine tarn,,"Robust, rhizomatous graminoid growing at edge of tarn in water; common at site",,,,,37.399379,-106.668816,3702
Cyperaceae,Carex aquatilis,7/16/2003,2003,7,16,197,large open marsh,,,,,,,37.192151,-106.593052,3597
Cyperaceae,Carex aquatilis,7/21/1981,1981,7,21,202,"Alpine tundra, in water.",,,,,,,40.05555,-105.58888,3480
Cyperaceae,Carex aquatilis,8/14/1972,1972,8,14,227,"Alpine tundra, in lee of terrace.",,,,,,,40.05,-105.61666,3475
Cyperaceae,Carex aquatilis,7/9/2004,2004,7,9,191,Small spring.,,,,,,,37.645,-107.35138,3283
Cyperaceae,Eriophorum angustifolium,7/9/2004,2004,7,9,191,"Large wet meadow with cottongrass, Pedicularis groenlandica, Carex spp., Eleocharis and scattered Salix.",,Cottongrass.,,,,,37.63972,-107.36388,3350
Cyperaceae,Carex aquatilis,8/31/1995,1995,8,31,243,"Wet meadow, nr pond and in water",,,,,,,39.01667,-107.03333,3599
Cyperaceae,Carex aquatilis,7/25/2011,2011,7,25,206,Edge of small pool in Sedge/willow wetland,,"Glaucous leaf tips, abundant",,,,,39.598782,-105.713985,3550
Cyperaceae,Carex aquatilis,7/25/2011,2011,7,25,206,Opening in sedge/willow wetland,,,,,,,39.598782,-105.713985,3550
Cyperaceae,Carex aquatilis,8/2/2012,2012,8,2,215,Common along Creek.,,,,,,,39.684091,-105.93258,3470
Cyperaceae,Carex aquatilis,8/2/2012,2012,8,2,215,Open area by streamlet and willows.,Wet soil.,Abundant.,,,,,39.685122,-105.932174,3465
Cyperaceae,Carex aquatilis,8/5/2012,2012,8,12,225,Wetland/meadow.,,Dominant sedge.,,,,,39.779174,-105.863926,3311
Cyperaceae,Carex aquatilis,8/4/2014,2014,8,4,216,Very wet upper subalpine sedge meadow along creek in spruce-willow forest.,Growing in moss.,,,,,Flower and fruit,38.14606,-107.44553,3385
Cyperaceae,Carex aquatilis,8/4/2014,2014,8,4,216,Very wet upper subalpine sedge meadow along creek in spruce-willow forest.,,,,,,Flower and fruit,38.14822,-107.4467,3385
Cyperaceae,Carex aquatilis,7/3/2015,2015,6,27,178,Spruce/fir subalpine forest.,,Glaucous leaf tips. Dominant sedge. Immature.,,,,Fruit,39.77346,-107.29654,3237
Cyperaceae,Carex aquatilis,8/17/2015,2015,8,17,229,Wet drainage in willow - spruce community.,,Locally common.,,,,Flower and fruit,38.06184,-107.42175,3484
CYPERACEAE,Carex aquatilis,7/12/1989,1989,7,12,193,"In seeping boggy areas along trail; with C. nova, C. chaciolepis, C. ebenea, Juncus mertensianus; igneous & metamorphic substrate.",,Common.,,,,,37.600526,-105.474671,3292
CYPERACEAE,Carex aquatilis,8/22/1990,1990,8,22,234,"Openings of  corridor of willow, dominated by Salix planifolia with Psycrophila leptosepala, Pedicularis groenlandica; glacial alluvium substrate of late Pindale origin.",,Dominant locally.,,,,,40.434087,-105.738059,3255
CYPERACEAE,Carex aquatilis,8/30/1995,1995,8,30,242,Lakeside; with C. canenscens.,,,,,,,39.594596,-105.704613,3508
CYPERACEAE,Carex aquatilis,8/15/1998,1998,8,15,227,Wet meadow with small pools of water surrounded by willow carr.,,Long rhizomatous,,,,,39.117667,-106.189913,3780
CYPERACEAE,Eriophorum angustifolium,7/24/2002,2002,7,24,205,"Large revegitating morainal kettle pond in Picea englemannii forest opening just W of Crater Lake.; in small areas of standing water bounded by Carex limosa, Eliocharis quinquiflora/Carex canescens fen, and with Menyanthes trifoliata; undivided Lower Miss",,occasional; forming patches,,,,,37.67351,-107.715028,3548
CYPERACEAE,Carex aquatilis,8/8/1970,1970,8,8,220,,,,,,,,40.430402,-105.768529,3658
CYPERACEAE,Carex aquatilis,8/11/1986,1986,8,11,223,Wet meadow with Caltha leptosepala dominant on floor of main basin,,,,,,,39.020354,-106.578783,3536
CYPERACEAE,Carex aquatilis,8/15/1984,1984,8,15,228,Wet meadow in lower part of basin,,,,,,,39.093431,-107.04935,3429
