# Monthly Data for Oct 1978 to Jan 2016
#
# (As of: Mon Jan 25 11:08:43 GMT-08:00 2016)
#  **Provisional data, subject to revision**
#
Station Name,Station Id,Water Year,Oct,Oct,Oct,Oct,Oct,Nov,Nov,Nov,Nov,Nov,Dec,Dec,Dec,Dec,Dec,Jan,Jan,Jan,Jan,Jan,Feb,Feb,Feb,Feb,Feb,Mar,Mar,Mar,Mar,Mar,Apr,Apr,Apr,Apr,Apr,May,May,May,May,May,Jun,Jun,Jun,Jun,Jun,Jul,Jul,Jul,Jul,Jul,Aug,Aug,Aug,Aug,Aug,Sep,Sep,Sep,Sep,Sep
,,,Snow Water Equivalent (mm),Change In Snow Water Equivalent (mm),Snow Depth (cm),Change In Snow Depth (cm),Mean Monthly Snow Depth (cm),Snow Water Equivalent (mm),Change In Snow Water Equivalent (mm),Snow Depth (cm),Change In Snow Depth (cm),Mean Monthly Snow Depth (cm),Snow Water Equivalent (mm),Change In Snow Water Equivalent (mm),Snow Depth (cm),Change In Snow Depth (cm),Mean Monthly Snow Depth (cm),Snow Water Equivalent (mm),Change In Snow Water Equivalent (mm),Snow Depth (cm),Change In Snow Depth (cm),Mean Monthly Snow Depth (cm),Snow Water Equivalent (mm),Change In Snow Water Equivalent (mm),Snow Depth (cm),Change In Snow Depth (cm),Mean Monthly Snow Depth (cm),Snow Water Equivalent (mm),Change In Snow Water Equivalent (mm),Snow Depth (cm),Change In Snow Depth (cm),Mean Monthly Snow Depth (cm),Snow Water Equivalent (mm),Change In Snow Water Equivalent (mm),Snow Depth (cm),Change In Snow Depth (cm),Mean Monthly Snow Depth (cm),Snow Water Equivalent (mm),Change In Snow Water Equivalent (mm),Snow Depth (cm),Change In Snow Depth (cm),Mean Monthly Snow Depth (cm),Snow Water Equivalent (mm),Change In Snow Water Equivalent (mm),Snow Depth (cm),Change In Snow Depth (cm),Mean Monthly Snow Depth (cm),Snow Water Equivalent (mm),Change In Snow Water Equivalent (mm),Snow Depth (cm),Change In Snow Depth (cm),Mean Monthly Snow Depth (cm),Snow Water Equivalent (mm),Change In Snow Water Equivalent (mm),Snow Depth (cm),Change In Snow Depth (cm),Mean Monthly Snow Depth (cm),Snow Water Equivalent (mm),Change In Snow Water Equivalent (mm),Snow Depth (cm),Change In Snow Depth (cm),Mean Monthly Snow Depth (cm)
Culebra_2,430,1980,0,,,,,10,10,,,,109,99,,,,155,46,,,,218,63,,,,312,94,,,,447,135,,,,414,-33,,,,0,-414,,,,0,0,,,,0,0,,,,0,0,,,
Culebra_2,430,1981,0,0,,,,28,28,,,,43,15,,,,53,10,,,,74,21,,,,84,10,,,,221,137,,,,0,-221,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,
Culebra_2,430,1982,0,0,,,,3,3,,,,89,86,,,,150,61,,,,198,48,,,,262,64,,,,310,48,,,,48,-262,,,,0,-48,,,,0,0,,,,0,0,,,,0,0,,,
Culebra_2,430,1983,0,0,,,,15,15,,,,53,38,,,,102,49,,,,147,45,,,,234,87,,,,485,251,,,,503,18,,,,168,-335,,,,0,-168,,,,0,0,,,,0,0,,,
Culebra_2,430,1984,0,0,,,,0,0,,,,84,84,,,,224,140,,,,246,22,,,,333,87,,,,444,111,,,,328,-116,,,,0,-328,,,,0,0,,,,0,0,,,,0,0,,,
Culebra_2,430,1985,0,0,,,,104,104,,,,135,31,,,,190,55,,,,307,117,,,,356,49,,,,447,91,,,,300,-147,,,,0,-300,,,,0,0,,,,0,0,,,,0,0,,,
Culebra_2,430,1986,0,0,,,,0,0,,,,48,48,,,,71,23,,,,107,36,,,,173,66,,,,170,-3,,,,170,0,,,,0,-170,,,,0,0,,,,0,0,,,,0,0,,,
Culebra_2,430,1987,0,0,,,,0,0,,,,71,71,,,,127,56,,,,170,43,,,,251,81,,,,335,84,,,,241,-94,,,,0,-241,,,,0,0,,,,0,0,,,,0,0,,,
Culebra_2,430,1988,0,0,,,,0,0,,,,69,69,,,,157,88,,,,203,46,,,,241,38,,,,236,-5,,,,0,-236,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,
Culebra_2,430,1989,0,0,,,,0,0,,,,107,107,,,,175,68,,,,221,46,,,,366,145,,,,328,-38,,,,0,-328,,,,0,0,,,,0,0,,,,0,0,,,,0,0,,,
Culebra_2,430,1990,0,0,,,,0,0,,,,0,0,,,,38,38,,,,94,56,,,,147,53,,,,290,143,,,,279,-11,,,,0,-279,,,,0,0,,,,0,0,,,,0,0,,,
Culebra_2,430,1991,0,0,,,,0,0,,,,58,58,,,,190,132,,,,244,54,,,,272,28,,,,404,132,,,,274,-130,,,,0,-274,,,,0,0,,,,0,0,,,,0,0,,,
Culebra_2,430,1992,0,0,,,,0,0,,,,145,145,,,,218,73,,,,216,-2,,,,330,114,,,,447,117,,,,124,-323,,,,5,-119,,,,0,-5,,,,0,0,,,,0,0,,,
Culebra_2,430,1993,0,0,,,,0,0,,,,91,91,,,,170,79,,,,231,61,,,,409,178,,,,467,58,,,,401,-66,,,,0,-401,,,,0,0,,,,0,0,,,,0,0,,,
Culebra_2,430,1994,0,0,,,,18,18,,,,71,53,,,,117,46,,,,198,81,,,,259,61,,,,376,117,,,,323,-53,,,,23,-300,,,,0,-23,,,,0,0,,,,0,0,,,
