Wrong,Replacement,possible problem
Acomastylis rossii var. turbinatum,,"contains ""var."""
Aconitum columbianum Nutt.,Aconitum columbianum,remove author name?
Aconitum columbianum var. columbianum,,"contains ""var."" - remove var. ?"
Agastache pallidiflora var. pallidiflora,,"contains ""var."" - remove var. ?"
Agoseris ×agrestis,NA,"cross, not true taxon"
Agoseris aurantiaca var.,Agoseris aurantiaca,"contains ""var."" - no variety shown"
Agrostis humulis,Agrostis humilis,
Agrostis scabra var. scabra,,"contains ""var."" - remove var. ?"
Alopecurus magellenicus,Alopecurus magellanicus,
Alsinanthe austromontana,Minuartia austromontana,
Anaphalis margaritacea (L.) Benth.,Anaphalis margaritacea,remove author name?
Anemonastrum narcissiflorum,Anemone narcissiflora,
Anemone narcissiflora xparviflora,NA,"cross, not true taxon"
Anemone narcissiflorum ssp. zephyrum,,"""ssp."" - need further review"
Antennaria Alpina,Antennaria alpina,specific epithet capitalized
Antennaria Corymbosa,Antennaria corymbosa,specific epithet capitalized
Antennaria media × Antennaria corymbosa,NA,"cross, not true taxon"
Apiaceae,NA,family
Aquilegia coerulea James,Aquilegia coerulea,remove author name?
Arabis divaricarpa,NA,"cross, not true taxon"
Arcostaphylos uva-ursi,Arctostaphylos uva-ursi,
Arctostaphylos uva-ursi ssp. uva-ursi,Arctostaphylos uva-ursi,remove ssp. ?
Arenaria biflora,NA,GOOD - according to my search - unresolved
Arenaria lanuginosa var. saxosa,,"contains ""var."""
Arnica cordifolia × Arnica latifolia,NA,"cross, not true taxon"
Artemisia arctica ssp. saxatilis,,"""ssp."" - need further review"
Artemisia borealis ssp. borealis,,remove ssp. ?
Artemisia campestris ssp borealis,,"""ssp"" (no period)- need further review"
Artemisia groenlandicus,Artemisia groenlandica,
Artemisia ludoviciana var. ludoviciana,,"contains ""var."" - remove var. ?"
Artemisia spithamaea,Artemisia borealis ssp. Borealis,
Asclepias brachystepha,Asclepias brachystephana,
Asteraceae,NA,family
Astragaluel caryocarpus,Astragalus caryocarpus,
Astragalus aboriginum,Astragalus australis var. glabriusculus,GOOD - according to my search
Astragalus multiflorus,,GOOD - according to my search
Athyrium distentifolium,Athyrium alpestre,
Bistorta bistortoides (Pursh) Small,Bistorta bistortoides,remove author name?
Boechera drepanoloba,,GOOD - according to my search
Boechera lemmonii var. lemmonii,,"contains ""var."" - remove var. ?"
Boechera pauciflora,,GOOD - according to my search
Boechera spatifolia,,GOOD - according to my search
Botrychium colorado,NA,unpublished
Botrychium echo × Botrychium lunaria,NA,"cross, not true taxon"
Botrychium hesperium × Botrychium minganense,NA,"cross, not true taxon"
Botrychium lanceolatum ssp. lanceolatum,Botrychium lanceolatum,remove ssp. ?
