"Accepted Symbol","Synonym Symbol","Symbol","Scientific Name","Hybrid Genus Indicator","Genus","Hybrid Species Indicator","Species","Subspecies Prefix","Hybrid Subspecies Indicator","Subspecies","Variety Prefix","Hybrid Variety Indicator","Variety","Subvariety Prefix","Subvariety","Forma Prefix","Forma","Genera/Binomial Author","Trinomial Author","Quadranomial Author","Questionable Taxon Indicator","Parents","State and Province","Duration","Growth Habit","Native Status","Bloom Period"
"ABIES","","ABIES","Abies","","Abies","","","","","","","","","","","","","","","","","","USA (AK, AZ, CA, CO, CT, GA, IA, ID, IN, MA, MD, ME, MI, MN, MT, NC, NH, NJ, NM, NV, NY, OH, OR, PA, RI, TN, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, LB, MB, NB, NF, NS, NT, ON, PE, QC, SK, YT), FRA (SPM)","","","",""
"ABCO","","ABCO","Abies concolor","","Abies","","concolor","","","","","","","","","","","(Gord. & Glend.) Lindl. ex Hildebr.","","","","","USA (AZ, CO, ID, MA, ME, NM, NV, OR, UT, WY)","Perennial","Tree","L48 (N)","Late Spring"
"ABLA","","ABLA","Abies lasiocarpa","","Abies","","lasiocarpa","","","","","","","","","","","(Hook.) Nutt.","","","","","USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC, NT, YT)","Perennial","Tree","L48 (N), AK (N), CAN (N)","Late Spring"
"ABLAA","","ABLAA","Abies lasiocarpa var. arizonica","","Abies","","lasiocarpa","","","","var.","","arizonica","","","","","(Hook.) Nutt.","(Merriam) Lemmon","","","","USA (AZ, CO, NM)","Perennial","Tree","L48 (N)",""
"ABLAL","","ABLAL","Abies lasiocarpa var. lasiocarpa","","Abies","","lasiocarpa","","","","var.","","lasiocarpa","","","","","(Hook.) Nutt.","(Hook.) Nutt.","","","","USA (AK, AZ, CA, CO, ID, MT, NM, NV, OR, UT, WA, WY), CAN (AB, BC, NT, YT)","Perennial","Tree","L48 (N), AK (N), CAN (N)",""
"ABRON","","ABRON","Abronia","","Abronia","","","","","","","","","","","","","","","","","","USA (AZ, CA, CO, ID, KS, MT, ND, NE, NM, NV, OK, OR, SD, TX, UT, WA, WY), CAN (BC)","","","",""
"ABAR","","ABAR","Abronia argillosa","","Abronia","","argillosa","","","","","","","","","","","S.L. Welsh & Goodrich","","","","","USA (CO, UT)","Perennial","Forb/herb","L48 (N)",""
"ABCA","","ABCA","Abronia carletonii","","Abronia","","carletonii","","","","","","","","","","","J.M. Coult. & Fisher","","","","","USA (CO, NM, TX)","Perennial","Forb/herb","L48 (N)",""
"ABEL","","ABEL","Abronia elliptica","","Abronia","","elliptica","","","","","","","","","","","A. Nelson","","","","","USA (AZ, CO, NM, NV, UT, WY)","Perennial","Forb/herb","L48 (N)",""
"ABFR2","","ABFR2","Abronia fragrans","","Abronia","","fragrans","","","","","","","","","","","Nutt. ex Hook.","","","","","USA (AZ, CO, KS, MT, ND, NE, NM, OK, SD, TX, UT, WA, WY)","Perennial","Forb/herb","L48 (N)",""
"ABNA","","ABNA","Abronia nana","","Abronia","","nana","","","","","","","","","","","S. Watson","","","","","USA (AZ, CA, CO, NM, NV, UT)","Perennial","Forb/herb","L48 (N)",""
"ABNAN","","ABNAN","Abronia nana var. nana","","Abronia","","nana","","","","var.","","nana","","","","","S. Watson","S. Watson","","","","USA (AZ, CA, CO, NV, UT)","Perennial","Forb/herb","L48 (N)",""
"ABUTI","","ABUTI","Abutilon","","Abutilon","","","","","","","","","","","","","","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MP, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UM, UT, VA, VT, WA, WI, WV, WY), USA+ (PR, VI), CAN (AB, BC, MB, NB, NS, ON, PE, QC, SK)","","","",""
"ABIN","","ABIN","Abutilon incanum","","Abutilon","","incanum","","","","","","","","","","","(Link) Sweet","","","","","USA (AZ, CO, HI, NM)","Perennial","Subshrub, Forb/herb","L48 (N), HI (N)",""
"ABPA3","","ABPA3","Abutilon parvulum","","Abutilon","","parvulum","","","","","","","","","","","A. Gray","","","","","USA (AZ, CA, CO, NM, NV, TX, UT)","Perennial","Subshrub, Forb/herb","L48 (N)",""
"ABTH","","ABTH","Abutilon theophrasti","","Abutilon","","theophrasti","","","","","","","","","","","Medik.","","","","","USA (AL, AR, AZ, CA, CO, CT, DC, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MO, MS, MT, NC, ND, NE, NH, NJ, NM, NV, NY, OH, OK, OR, PA, RI, SC, SD, TN, TX, UT, VA, VT, WA, WI, WV, WY), CAN (AB, BC, MB, NB, NS, ON, PE, QC, SK)","Annual","Forb/herb","L48 (I), CAN (I)",""
