"ID","Family.Name","scientificName"
"1",21,"Pinaceae","Abies arizonica"
"10",22,"Pinaceae","Abies bifolia"
"25",14,"Pinaceae","Abies concolor"
"28",14,"Pinaceae","Abies concolor var. concolor"
"29",20,"Pinaceae","Abies lasiocarpa"
"43",21,"Pinaceae","Abies lasiocarpa var. arizonica"
"45",22,"Pinaceae","Abies lasiocarpa var. lasiocarpa"
"47",35413,"Acarosporaceae","Acarospora chlorophana"
"48",469,"Aceraceae","Acer glabrum"
"49",472,"Sapindaceae","Acer glabrum var. glabrum"
"50",39698,"Polygonaceae","Acetosella paucifolia"
"51",544,"Asteraceae","Achillea lanulosa"
"75",535,"Asteraceae","Achillea lanulosa ssp. alpicola"
"76",535,"Asteraceae","Achillea lanulosa var. alpicola"
"80",534,"Asteraceae","Achillea millefolium"
"215",544,"Asteraceae","Achillea millefolium var. lanulosa"
"225",544,"Asteraceae","Achillea millefolium var. occidentalis"
"241",579,"Poaceae","Achnatherum lettermanii"
"266",581,"Poaceae","Achnatherum nelsonii"
"267",582,"Poaceae","Achnatherum nelsonii ssp. dorei"
"270",583,"Poaceae","Achnatherum nelsonii ssp. nelsonii"
"272",587,"Poaceae","Achnatherum occidentale ssp. occidentale"
"274",594,"Poaceae","Achnatherum pinetorum"
"275",20254,"Rosaceae","Acomastylis rossii"
"282",20255,"Rosaceae","Acomastylis rossii ssp. turbinata"
"293",656,"Ranunculaceae","Aconitum columbianum"
"297",656,"Helleboraceae","Aconitum columbianum"
"302",657,"Ranunculaceae","Aconitum columbianum ssp. columbianum"
"312",657,"Helleboraceae","Aconitum columbianum ssp. columbianum"
"357",727,"Ranunculaceae","Actaea rubra"
"366",728,"Ranunculaceae","Actaea rubra ssp. arguta"
"367",26381,"Linaceae","Adenolinum lewisii"
"370",832,"Adoxaceae","Adoxa moschatellina"
"412",993,"Lamiaceae","Agastache pallidiflora ssp. pallidiflora"
"413",1002,"Lamiaceae","Agastache urticifolia"
"414",1004,"Lamiaceae","Agastache urticifolia var. urticifolia"
"415",1117,"Asteraceae","Agoseris aurantiaca"
"465",1118,"Asteraceae","Agoseris aurantiaca var. aurantiaca"
"517",1119,"Asteraceae","Agoseris aurantiaca var. purpurea"
"554",1122,"Asteraceae","Agoseris glauca"
"613",1125,"Asteraceae","Agoseris glauca var. dasycephala"
"677",1126,"Asteraceae","Agoseris glauca var. glauca"
"681",1127,"Asteraceae","Agoseris glauca var. laciniata"
"682",1127,"Asteraceae","Agoseris parviflora"
"694",16369,"Poaceae","Agropyron scribneri"
"696",16383,"Poaceae","Agropyron trachycaulum"
"700",16382,"Poaceae","Agropyron trachycaulum var. glaucum"
"701",16297,"Poaceae","Agropyron trachycaulum var. latiglume"
"702",1190,"Poaceae","Agrostis borealis"
"703",1180,"Poaceae","Agrostis exarata"
"711",1186,"Poaceae","Agrostis humilis"
"724",1188,"Poaceae","Agrostis idahoensis"
"734",1190,"Poaceae","Agrostis mertensii"
"738",1199,"Poaceae","Agrostis scabra"
"786",1200,"Poaceae","Agrostis stolonifera"
"790",1186,"Poaceae","Agrostis thurberiana"
"794",1202,"Poaceae","Agrostis variabilis"
"806",1292,"Apiaceae","Aletes anisatus"
"808",1294,"Apiaceae","Aletes humilis"
"817",1326,"Polemoniaceae","Aliciella pinnatifida"
"829",1328,"Polemoniaceae","Aliciella sedifolia"
"832",1383,"Liliaceae","Allium brandegeei"
"833",1397,"Alliaceae","Allium cernuum"
"837",1397,"Liliaceae","Allium cernuum"
"840",1423,"Alliaceae","Allium geyeri"
"841",1423,"Liliaceae","Allium geyeri"
"894",1423,"Amaryllidaceae","Allium geyeri"
"917",1425,"Alliaceae","Allium geyeri var. geyeri"
"921",1425,"Liliaceae","Allium geyeri var. geyeri"
"944",1426,"Alliaceae","Allium geyeri var. tenerum"
"953",1426,"Liliaceae","Allium geyeri var. tenerum"
"955",1426,"Amaryllidaceae","Allium geyeri var. tenerum"
"963",1426,"Liliaceae","Allium rubrum"
"964",1426,"Alliaceae","Allium rubrum"
"968",1500,"Alliaceae","Allium textile"
"970",1568,"Betulaceae","Alnus incana var. occidentalis"
"971",1606,"Poaceae","Alopecurus aequalis"
"973",1607,"Poaceae","Alopecurus aequalis var. aequalis"
"983",1618,"Poaceae","Alopecurus alpinus"
"988",1609,"Poaceae","Alopecurus arundinaceus"
"989",1615,"Poaceae","Alopecurus geniculatus"
"990",1618,"Poaceae","Alopecurus magellanicus"
"994",1620,"Poaceae","Alopecurus pratensis"
"1002",29440,"Alsinaceae","Alsinanthe macrantha"
"1024",29461,"Alsinaceae","Alsinanthe stricta"
"1031",29461,"Alliaceae","Alsinanthe stricta"
"1033",1730,"Amaranthaceae","Amaranthus arenicola"
"1034",5265,"Asteraceae","Amauriopsis dissecta"
"1035",1798,"Asteraceae","Ambrosia acanthicarpa"
"1036",1819,"Asteraceae","Ambrosia linearis"
"1038",1821,"Asteraceae","Ambrosia psilostachya"
"1039",1829,"Rosaceae","Amelanchier alnifolia"
"1040",1830,"Rosaceae","Amelanchier alnifolia var. alnifolia"
"1042",1851,"Rosaceae","Amelanchier alnifolia var. pumila"
"1043",41304,"Crassulaceae","Amerosedum lanceolatum"
"1055",2043,"Asteraceae","Anaphalis margaritacea"
"1084",2134,"Primulaceae","Androsace chamaejasme"
"1098",2136,"Primulaceae","Androsace chamaejasme ssp. carinata"
"1108",2137,"Primulaceae","Androsace chamaejasme ssp. lehmanniana"
"1141",2136,"Primulaceae","Androsace chamaejasme var. carinata"
"1146",2143,"Primulaceae","Androsace septentrionalis"
"1365",2144,"Primulaceae","Androsace septentrionalis var. glandulosa"
"1366",2145,"Primulaceae","Androsace septentrionalis var. puberulenta"
"1368",2196,"Ranunculaceae","Anemonastrum narcissiflorum ssp. zephyrum"
"1377",2189,"Ranunculaceae","Anemone globosa"
"1380",2185,"Ranunculaceae","Anemone lithophila"
"1383",2188,"Ranunculaceae","Anemone multifida"
"1400",2189,"Ranunculaceae","Anemone multifida var. globosa"
