"Family.Name","scientificName"
"1","Polemoniaceae","Polemonium viscosum"
"5","Polemoniaceae","Polemonium pulcherrimum"
"6","Polemoniaceae","Polemonium foliosissimum"
"7","Polemoniaceae","Polemonium delicatum"
"8","Polemoniaceae","Polemonium pulcherrimum ssp. delicatum"
"9","Plantaginaceae","Penstemon alpinus"
"10","Polygonaceae","Eriogonum coloradense"
"12","Liliaceae","Maianthemum stellatum"
"13","Rosaceae","Geum aleppicum"
"14","Onagraceae","Chamerion angustifolium"
"15","Asteraceae","Achillea millefolium"
"16","Scrophulariaceae","Penstemon rydbergii"
"17","Scrophulariaceae","Penstemon whippleanus"
"18","Rosaceae","Potentilla pulcherrima"
"19","Asteraceae","Antennaria umbrinella"
"20","Asteraceae","Solidago multiradiata"
"21","Valerianaceae","Valeriana capitata"
"23","Brassicaceae","Physaria scrotiformis"
"24","Rosaceae","Potentilla rubricaulis"
"25","Papaveraceae","Corydalis caseana"
"26","Ranunculaceae","Caltha leptosepala"
"27","Asteraceae","Hymenoxys grandiflora"
"28","Fabaceae","Astragalus parryi"
"29","Polygonaceae","Rumex acetosella"
"30","Polygonaceae","Rumex triangulivalvis"
"31","Polygonaceae","Polygonum bistortoides"
"32","Brassicaceae","Erysimum capitatum var. purshii"
"33","Brassicaceae","Draba lanceolata"
"34","Asteraceae","Arnica mollis"
"36","Asteraceae","Symphyotrichum eatonii"
"37","Fabaceae","Astragalus molybdenus"
"39","Adoxaceae","Sambucus racemosa"
"40","Cyperaceae","Carex elynoides"
"44","Fabaceae","Hedysarum occidentale"
"45","Asteraceae","Arnica parryi"
"46","Asteraceae","Senecio wootonii"
"47","Asteraceae","Packera werneriifolia"
"48","Poaceae","Danthonia intermedia"
"49","Poaceae","Bromopsis pumpelliana"
"50","Poaceae","Trisetum spicatum ssp. congdonii"
"51","Poaceae","Elymus trachycaulus ssp. andinus"
"52","Poaceae","Festuca brachyphylla ssp. coloradensis"
"53","Poaceae","Poa alpina"
"54","Poaceae","Poa glauca ssp. rupicola"
"55","Crassulaceae","Tolmachevia integrifolia"
"56","Poaceae","Hordeum brachyantherum"
"57","Caryophyllaceae","Arenaria congesta var. congesta"
"58","Caryophyllaceae","Silene acaulis var. subacaulescens"
"59","Ranunculaceae","Thalictrum fendleri var. fendleri"
