"Family.Name","Authority","scientificName","Decimal.Latitude","Decimal.Longitude","Year","elevation","startDayOfYear","institutionCode"
"1","Polemoniaceae","Nutt.","Polemonium viscosum",39.109929,-106.565669,1969,3658,164,"ASU"
"2","Polemoniaceae","Nutt.","Polemonium viscosum",37.850793,-107.017346,1970,3429,189,"ASU"
"3","Polemoniaceae","Nutt.","Polemonium viscosum",40.531906,-105.644267,1963,3505,183,"ASU"
"4","Polemoniaceae","Nutt.","Polemonium viscosum",39.602193,-105.642065,1968,3962,249,"ASU"
"5","Polemoniaceae","Hook.","Polemonium pulcherrimum ssp. delicatum",NA,NA,1963,3505,182,"ASU"
"6","Polemoniaceae","A. Gray","Polemonium foliosissimum",37.27667,-106.62111,1976,3200,185,"ASU"
"7","Polemoniaceae","Rydb.","Polemonium delicatum",39.66361,-105.87861,1967,3505,192,"ASU"
"8","Polemoniaceae","(Rydb.) Brand","Polemonium pulcherrimum ssp. delicatum",NA,NA,1976,3962,186,"ASU"
"9","Plantaginaceae","Torr.","Penstemon alpinus",37.85549,-106.98186,1970,3429,189,"ASU"
"10","Polygonaceae","Small","Eriogonum coloradense",39.022228,-106.978235,1960,3506,186,"ASU"
"11","Polygonaceae","Small","Eriogonum coloradense",39.022228,-106.978235,1960,3506,187,"ASU"
"12","Liliaceae","(L.) Link","Maianthemum stellatum",39.6599,-105.605,2007,3242,199,"ASU"
"13","Rosaceae","Jacq.","Geum aleppicum",39.6599,-105.605,2007,3242,199,"ASU"
"14","Onagraceae","(L.) Holub","Chamerion angustifolium",39.6599,-105.605,2007,3242,199,"ASU"
"15","Asteraceae","L.","Achillea millefolium",39.6599,-105.605,2007,3242,199,"ASU"
"16","Scrophulariaceae","A. Nels.","Penstemon rydbergii",39.6599,-105.605,2007,3242,199,"ASU"
"17","Scrophulariaceae","A. Gray","Penstemon whippleanus",39.6599,-105.605,2007,3242,199,"ASU"
"18","Rosaceae","Lehm.","Potentilla pulcherrima",39.6599,-105.605,2007,3242,199,"ASU"
"19","Asteraceae","Rydb.","Antennaria umbrinella",39.6599,-105.605,2007,3242,199,"ASU"
"20","Asteraceae","Ait.","Solidago multiradiata",39.6599,-105.605,2007,3242,199,"ASU"
"21","Valerianaceae","Pallas ex Link","Valeriana acutiloba",NA,NA,1959,3353,192,"ASU"
"22","Valerianaceae","Pallas ex Link","Valeriana acutiloba",NA,NA,1963,3383,176,"ASU"
"23","Brassicaceae","O'Kane","Physaria scrotiformis",37.55015,-107.625917,2006,3605,200,"ASU"
"24","Rosaceae","Lehm.","Potentilla rubricaulis",39.5917,-105.636,1973,3962,220,"ASU"
"25","Papaveraceae","Gray","Corydalis caseana",NA,NA,1996,3200,251,"ARIZ"
"26","Ranunculaceae","DC.","Caltha leptosepala",NA,NA,1962,3353,164,"ARIZ"
"27","Asteraceae","(Torr. & A.Gray) K.L.Parker","Hymenoxys grandiflora",NA,NA,1963,3475,181,"ARIZ"
"28","Fabaceae","C.Anders.","Astragalus parryi",NA,NA,1992,3500,189,"ARIZ"
"29","Polygonaceae","L.","Rumex acetosella",29.795278,-105.785833,2005,3421,251,"ARIZ"
"30","Polygonaceae","(Danser) Rech. f.","Rumex triangulivalvis",39.898333,-105.709444,2005,3368,251,"ARIZ"
"31","Polygonaceae","Pursh","Polygonum bistortoides",39.937778,-105.682222,2005,3557,251,"ARIZ"
"32","Brassicaceae","(Dur.) Rollins","Erysimum capitatum",39.288611,-106.145556,2004,3464,157,"ARIZ"
"33","Brassicaceae","Royle","Draba cana",39.288611,-106.145556,2004,3464,157,"ARIZ"
"34","Asteraceae","Hook.","Arnica mollis",39.5475,-105.841389,2005,3410,220,"ARIZ"
"35","Asteraceae","Hook.","Arnica mollis",39.525,-105.834722,2005,3505,220,"ARIZ"
"36","Asteraceae","(A. Gray) G.L. Nesom","Symphyotrichum eatonii",39.535833,-105.839167,2005,3505,220,"ARIZ"
"37","Fabaceae","Barneby","Astragalus molybdenus",NA,NA,1994,3900,203,"ARIZ"
"38","Fabaceae","Barneby","Astragalus molybdenus",NA,NA,1994,3900,203,"ARIZ"
"39","Adoxaceae","L.","Sambucus racemosa",NA,NA,1959,3200,239,"ARIZ"
"40","Cyperaceae","Holm","Carex elynoides",NA,NA,1951,3658,220,"ARIZ"
"41","Cyperaceae","Holm","Carex elynoides",NA,NA,1951,3962,219,"ARIZ"
"42","Cyperaceae","Holm","Carex elynoides",NA,NA,1971,3880,226,"ARIZ"
"43","Cyperaceae","Holm","Carex elynoides",NA,NA,1969,3290,234,"ARIZ"
"44","Fabaceae","Greene","Hedysarum occidentale",NA,NA,1996,3243,217,"ARIZ"
"45","Asteraceae","A.Gray","Arnica parryi",39.506389,-105.818889,2005,3261,220,"ARIZ"
"46","Asteraceae","Greene","Senecio wootonii",39.679444,-105.885278,2005,3363,183,"ARIZ"
"47","Asteraceae","(A. Gray) W.A. Weber & A. Löve","Packera werneriifolia",39.671111,-105.882222,2005,3449,183,"ARIZ"
"48","Poaceae","Vasey","Danthonia intermedia",39.7803,-105.8783,2007,3523,312,"ARIZ"
"49","Poaceae","(Scribn.) Holub","Bromopsis pumpelliana",39.2071,-106.1668,2007,3688,262,"ARIZ"
"50","Poaceae","(Scribn. & Merr.) Hultén","Trisetum spicatum ssp. congdonii",39.2261,-106.1903,2007,3627,220,"ARIZ"
"51","Poaceae","(Scribn. & J.G. Sm.) A.& D. Löve","Elymus trachycaulus ssp. andinus",39.2261,-106.1903,2007,3627,220,"ARIZ"
"52","Poaceae","Frederiksen","Festuca brachyphylla ssp. coloradensis",39.2113,-106.1701,2007,3810,262,"ARIZ"
"53","Poaceae","L.","Poa alpina",39.2113,-106.1701,2007,3810,262,"ARIZ"
"54","Poaceae","(Nash ex Rydb.) W.A. Weber","Poa glauca",39.2261,-106.1903,2007,3627,220,"ARIZ"
"55","Crassulaceae","(Raf.) A. Löve & D. Löve","Tolmachevia integrifolia",39.635,-105.602778,2003,3700,193,"ARIZ"
"56","Poaceae","Nevski","Hordeum brachyantherum",NA,NA,1994,3231,219,"ARIZ"
"57","Caryophyllaceae","Maguire","Arenaria congesta var. congesta",NA,NA,1998,3414,190,"ARIZ"
"58","Caryophyllaceae","(F.N. Williams) Fern. & St. John","Silene acaulis",NA,NA,1997,3414,200,"ARIZ"
"59","Ranunculaceae","","Thalictrum fendleri var. fendleri",NA,NA,1995,3231,229,"ARIZ"
"60","Ranunculaceae","Pritz. ex Walp.","Delphinium nuttallianum",NA,NA,1995,3231,189,"ARIZ"
"61","Poaceae","(L.) P. Beauv.","Deschampsia cespitosa",NA,NA,2003,3536,222,"ARIZ"
"62","Apiaceae","(A. Gray) Heller","Oxypolis fendleri",NA,NA,2004,3475,218,"ARIZ"
"63","Ericaceae","(Rydb.) Dorn","Vaccinium myrtillus var. oreophilum",NA,NA,2003,3475,214,"ARIZ"
"64","Poaceae","Nash ex Rydb.","Poa rupicola",NA,NA,1995,3658,208,"ARIZ"
"65","Poaceae","(L.) Richter","Trisetum spicatum",NA,NA,1994,3597,201,"ARIZ"
"66","Poaceae","(Scribn.) C.L. Hitchc.","Poa cusickii var. epilis",NA,NA,1998,3246,183,"ARIZ"
"67","Poaceae","L.","Poa palustris",NA,NA,1998,3566,233,"ARIZ"
"68","Poaceae","Nash ex Rydb.","Poa rupicola",NA,NA,1998,3658,190,"ARIZ"
"69","Rosaceae","","Potentilla diversifolia",NA,NA,1998,3475,189,"ARIZ"
"70","Saxifragaceae","(Wiegand) Piper ex G.N. Jones","Saxifraga bronchialis var. austromontana",NA,NA,1997,3688,216,"ARIZ"
"71","Poaceae","(Vasey) Dorn","Poa arctica var. grayana",NA,NA,1997,3688,214,"ARIZ"
"72","Brassicaceae","O'Kane","Physaria scrotiformis",37.55015,-107.625917,2006,3605,200,"ARIZ"
"73","Brassicaceae","(L.) F.K. Mey.","Noccaea montana",NA,NA,1992,3750,175,"ARIZ"
"74","Boraginaceae","Greene","Mertensia arizonica",37.885833,-107.846944,1999,3414,221,"ARIZ"
"75","Boraginaceae","A.Nelson","Mertensia viridis",NA,NA,1950,3353,201,"ARIZ"
"76","Poaceae","(L.) P. Beauv.","Deschampsia cespitosa",NA,NA,1994,3292,194,"ARIZ"
"77","Asteraceae","Gray ex Rothrock","Townsendia rothrockii",NA,NA,1951,3658,220,"ARIZ"
"78","Cyperaceae","Mackenzie","Carex egglestonii",37.696367,-107.60212,2004,3627,207,"ARIZ"
"79","Poaceae","L.","Agrostis stolonifera",39.795278,-105.785833,2005,3421,251,"ARIZ"
"80","Asteraceae","A. Gray","Senecio bigelovii",39.898333,-105.709444,2005,3368,251,"ARIZ"
"81","Cyperaceae","Olney","Carex haydeniana",NA,NA,1972,3412,212,"ARIZ"
"82","Cyperaceae","Olney","Carex haydeniana",NA,NA,1971,3880,257,"ARIZ"
"83","Cyperaceae","Olney","Carex haydeniana",NA,NA,1967,3880,217,"ARIZ"
"84","Cyperaceae","Rydb.","Carex ebenea",NA,NA,1988,3200,199,"ARIZ"
"85","Cyperaceae","Rydb.","Carex ebenea",NA,NA,1967,3600,273,"ARIZ"
"86","Cyperaceae","Rydb.","Carex ebenea",NA,NA,1968,3700,258,"ARIZ"
"87","Cyperaceae","Rydb.","Carex ebenea",NA,NA,1976,3550,242,"ARIZ"
"88","Cyperaceae","Mackenzie","Carex microptera",NA,NA,1967,3200,207,"ARIZ"
"89","Cyperaceae","Mackenzie","Carex microptera",NA,NA,1988,3200,199,"ARIZ"
"90","Cyperaceae","Mackenzie","Carex microptera",NA,NA,1976,3550,242,"ARIZ"
"91","Cyperaceae","F.J. Herm.","Carex limnophila",NA,NA,1988,3200,199,"ARIZ"
"92","Cyperaceae","Mackenzie","Carex microptera",NA,NA,1988,3200,199,"ARIZ"
"93","Cyperaceae","Mackenzie","Carex microptera",NA,NA,1988,3200,199,"ARIZ"
"94","Salicaceae","L.","Salix reticulata",NA,NA,1986,3658,160,"ARIZ"
"95","Salicaceae","Nutt.","Salix brachycarpa var. brachycarpa",NA,NA,1986,3505,206,"ARIZ"
"96","Polemoniaceae","A.Gray","Polemonium confertum",NA,NA,1959,3810,188,"ARIZ"
"97","Polemoniaceae","Nutt.","Polemonium viscosum",NA,NA,1992,3750,175,"ARIZ"
"98","Polemoniaceae","Nutt.","Polemonium viscosum",NA,NA,1983,3658,217,"ARIZ"
"99","Polemoniaceae","Nutt.","Polemonium viscosum",NA,NA,1950,3353,180,"ARIZ"
"100","Poaceae","(L.) Richter","Trisetum spicatum",NA,NA,1976,3660,191,"ARIZ"
"101","","L.","Phleum pratense",NA,NA,1979,3300,251,"ARIZ"
"102","Elaeagnaceae","(L.) Nutt.","Shepherdia canadensis",NA,NA,1993,3352,204,"ARIZ"
"103","Cyperaceae","Holm","Carex chalciolepis",NA,NA,1994,3960,249,"ASC"
"104","Cyperaceae","Holm","Carex chalciolepis",NA,NA,1972,3660,201,"ASC"
"105","Cyperaceae","Holm","Carex chalciolepis",NA,NA,1998,3660,196,"ASC"
"106","Cyperaceae","Holm","Carex chalciolepis",37.715514,-107.562317,2004,3290,206,"ASC"
"107","Portulacaceae","(Gray) Parry ex S. Wats.","Claytonia megarhiza",39.641,-105.599,2007,3719,207,"ASC"
"108","Juncaceae","(L.) DC.","Luzula spicata",39.641,-105.599,2007,3719,230,"ASC"
"109","Cyperaceae","Holm","Carex chalciolepis",39.641,-105.599,2007,3719,230,"ASC"
"110","Cyperaceae","Mackenzie","Carex albonigra",39.641,-105.599,2007,3719,207,"ASC"
"111","Campanulaceae","L.","Campanula rotundifolia",39.641,-105.599,2008,3719,203,"ASC"
"112","Poaceae","(Link) Gould ex Shinners","Elymus trachycaulus",39.641,-105.599,2007,3719,231,"ASC"
